osm_way_id,name,pbot_class,highway,footway,reason
5509601,"",standard,trunk_link,,"freeway carriageway (highway=trunk_link)"
5510504,"Morrison Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
5511841,"",off_street,secondary_link,,"off_street facility on motor road (highway=secondary_link)"
5512192,"",standard,motorway_link,,"freeway carriageway (highway=motorway_link)"
5513302,"",standard,motorway_link,,"freeway carriageway (highway=motorway_link)"
5515524,"",standard,motorway_link,,"freeway carriageway (highway=motorway_link)"
5519621,"Morrison Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
5520143,"Morrison Bridge",standard,trunk,,"freeway carriageway (highway=trunk)"
5526283,"North Oregon Street",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
5528773,"North Lombard Street",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
5531324,"Morrison Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
5539519,"North Marine Drive",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
23530064,"",standard,motorway_link,,"freeway carriageway (highway=motorway_link)"
23530213,"North Greeley Avenue",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
23531271,"",off_street,motorway_link,,"freeway carriageway (highway=motorway_link)"
23531292,"",off_street,motorway,,"freeway carriageway (highway=motorway)"
23669243,"Glenn L. Jackson Memorial Bridge",off_street,motorway,,"freeway carriageway (highway=motorway)"
27183287,"North Lombard Street",greenway,primary,,"greenway facility on motor road (highway=primary)"
30254290,"",standard,motorway,,"freeway carriageway (highway=motorway)"
30254292,"",standard,motorway,,"freeway carriageway (highway=motorway)"
30255698,"",off_street,motorway,,"freeway carriageway (highway=motorway)"
30255887,"",standard,motorway,,"freeway carriageway (highway=motorway)"
30260251,"",off_street,primary_link,,"off_street facility on motor road (highway=primary_link)"
30288924,"Steel Bridge",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
30316205,"",buffered,motorway,,"freeway carriageway (highway=motorway)"
30316210,"",buffered,motorway,,"freeway carriageway (highway=motorway)"
30369706,"Columbia River Highway",standard,motorway,,"freeway carriageway (highway=motorway)"
30374106,"",off_street,motorway_link,,"freeway carriageway (highway=motorway_link)"
30374523,"Interstate Bridge",off_street,motorway,,"freeway carriageway (highway=motorway)"
30474394,"",off_street,motorway,,"freeway carriageway (highway=motorway)"
30474396,"",off_street,motorway,,"freeway carriageway (highway=motorway)"
40602087,"",standard,motorway,,"freeway carriageway (highway=motorway)"
40602088,"",standard,motorway,,"freeway carriageway (highway=motorway)"
40940382,"",off_street,secondary_link,,"off_street facility on motor road (highway=secondary_link)"
45701297,"",off_street,primary_link,,"off_street facility on motor road (highway=primary_link)"
52321842,"",off_street,primary_link,,"off_street facility on motor road (highway=primary_link)"
69334749,"",off_street,primary_link,,"off_street facility on motor road (highway=primary_link)"
94233468,"Hawthorne Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
98830857,"",off_street,secondary_link,,"off_street facility on motor road (highway=secondary_link)"
98945906,"",off_street,motorway_link,,"freeway carriageway (highway=motorway_link)"
101455201,"",off_street,primary_link,,"off_street facility on motor road (highway=primary_link)"
104683206,"Southeast 108th Avenue",greenway,tertiary,,"greenway facility on motor road (highway=tertiary)"
114603092,"",off_street,motorway,,"freeway carriageway (highway=motorway)"
118776211,"North Greeley Avenue",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
118880271,"",off_street,primary_link,,"off_street facility on motor road (highway=primary_link)"
119646676,"Broadway Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
122302582,"",standard,footway,sidewalk,"facility on footway=sidewalk"
122309859,"Northeast Airport Way",off_street,primary,,"off_street facility on motor road (highway=primary)"
123689397,"",off_street,motorway,,"freeway carriageway (highway=motorway)"
123889251,"Glenn L. Jackson Memorial Bridge",off_street,motorway,,"freeway carriageway (highway=motorway)"
124089668,"Hawthorne Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
124413033,"North Portland Road",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
124413054,"North Portland Road",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
124811218,"North Greeley Avenue",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
124811221,"North Greeley Avenue",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
125820528,"",standard,footway,sidewalk,"facility on footway=sidewalk"
125834103,"",standard,footway,sidewalk,"facility on footway=sidewalk"
126306262,"Broadway Bridge",standard,footway,sidewalk,"facility on footway=sidewalk"
126854732,"",standard,footway,sidewalk,"facility on footway=sidewalk"
131906323,"Hawthorne Bridge",standard,footway,sidewalk,"facility on footway=sidewalk"
136211294,"",standard,footway,sidewalk,"facility on footway=sidewalk"
136211299,"",standard,footway,sidewalk,"facility on footway=sidewalk"
141246959,"North Lombard Street",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
141455510,"",standard,motorway_link,,"freeway carriageway (highway=motorway_link)"
141455556,"",standard,motorway_link,,"freeway carriageway (highway=motorway_link)"
141455587,"",buffered,motorway_link,,"freeway carriageway (highway=motorway_link)"
153469294,"Steel Bridge (Upper Deck)",off_street,footway,sidewalk,"facility on footway=sidewalk"
153506700,"Broadway Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
153506702,"Broadway Bridge",buffered,footway,sidewalk,"facility on footway=sidewalk"
156099856,"Northeast Mount Hood Avenue",off_street,tertiary,,"off_street facility on motor road (highway=tertiary)"
156121085,"Steel Bridge (Upper Deck)",off_street,footway,sidewalk,"facility on footway=sidewalk"
156122798,"",protected,motorway_link,,"freeway carriageway (highway=motorway_link)"
158087491,"",standard,footway,sidewalk,"facility on footway=sidewalk"
158303885,"",standard,footway,sidewalk,"facility on footway=sidewalk"
158303887,"South Bond Avenue",standard,footway,sidewalk,"facility on footway=sidewalk"
169290281,"Southeast 20th Avenue",greenway,tertiary,,"greenway facility on motor road (highway=tertiary)"
169290282,"Southeast 20th Avenue",greenway,tertiary,,"greenway facility on motor road (highway=tertiary)"
169290283,"Southeast 20th Avenue",greenway,tertiary,,"greenway facility on motor road (highway=tertiary)"
169290284,"Southeast 20th Avenue",greenway,tertiary,,"greenway facility on motor road (highway=tertiary)"
172338888,"Northwest Davis Street",greenway,tertiary,,"greenway facility on motor road (highway=tertiary)"
174985371,"Ross Island Bridge",off_street,trunk,,"freeway carriageway (highway=trunk)"
177859545,"Steel Bridge",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
179097673,"",standard,motorway_link,,"freeway carriageway (highway=motorway_link)"
189781370,"",off_street,primary_link,,"off_street facility on motor road (highway=primary_link)"
190679509,"Northwest Naito Parkway",off_street,footway,sidewalk,"facility on footway=sidewalk"
203423670,"",off_street,motorway_link,,"freeway carriageway (highway=motorway_link)"
204160340,"Southeast Martin Luther King Junior Boulevard",buffered,footway,sidewalk,"facility on footway=sidewalk"
236942767,"Banfield Freeway",protected,motorway,,"freeway carriageway (highway=motorway)"
282172530,"Hawthorne Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
282174153,"Hawthorne Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
282174242,"Hawthorne Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
282180697,"Hawthorne Bridge",off_street,primary,,"off_street facility on motor road (highway=primary)"
322079536,"South Moody Avenue",off_street,tertiary,,"off_street facility on motor road (highway=tertiary)"
334633270,"Glenn L. Jackson Memorial Bridge",off_street,motorway,,"freeway carriageway (highway=motorway)"
335806896,"Columbia River Highway",standard,motorway,,"freeway carriageway (highway=motorway)"
344579839,"",off_street,motorway,,"freeway carriageway (highway=motorway)"
344579863,"",off_street,motorway,,"freeway carriageway (highway=motorway)"
344579952,"",off_street,motorway_link,,"freeway carriageway (highway=motorway_link)"
348027811,"Steel Bridge (Upper Deck)",off_street,footway,sidewalk,"facility on footway=sidewalk"
348027812,"Steel Bridge",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
348027813,"Steel Bridge",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
379238588,"",standard,footway,sidewalk,"facility on footway=sidewalk"
379238592,"",standard,footway,sidewalk,"facility on footway=sidewalk"
379238593,"",standard,footway,sidewalk,"facility on footway=sidewalk"
400045515,"",off_street,footway,sidewalk,"facility on footway=sidewalk"
418966750,"North Oregon Street",off_street,secondary,,"off_street facility on motor road (highway=secondary)"
