gap,osm_way_id,name,pbot_class,suggested_tags,length_m,lat,lng
contraflow,418785123,"Southwest Naito Parkway",,"oneway:bicycle=no",0,45.521378,-122.670400
presence,285156477,"Tilikum Crossing",off_street,"cycleway=track;bicycle=designated;lcn=yes",525,45.505497,-122.666120
presence,389738957,"Tilikum Crossing",off_street,"cycleway=track;bicycle=designated;lcn=yes",525,45.504626,-122.667508
presence,444985638,"South Waterfront Greenway",off_street,"cycleway=track;bicycle=designated;lcn=yes",387,45.497256,-122.667819
presence,124583983,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",277,45.574020,-122.547101
presence,113897354,"Old Cornell",off_street,"cycleway=track;bicycle=designated;lcn=yes",228,45.531350,-122.717006
presence,1290804614,"North Columbia Boulevard",off_street,"cycleway=track;bicycle=designated;lcn=yes",208,45.617235,-122.768930
presence,447601284,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",204,45.581744,-122.641158
presence,1373558716,"Willamette Greenway",off_street,"cycleway=track;bicycle=designated;lcn=yes",193,45.494955,-122.668473
presence,1092403541,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",190,45.476259,-122.728553
presence,286198900,"Southeast Tilikum Way",off_street,"cycleway=track;bicycle=designated;lcn=yes",189,45.504542,-122.656559
presence,1018452227,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",187,45.536694,-122.694665
presence,1317495942,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",185,45.499966,-122.660773
presence,5529863,"Southeast 64th Avenue",off_street,"cycleway=track;bicycle=designated;lcn=yes",153,45.508014,-122.597789
presence,126855527,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",148,45.494406,-122.558904
presence,1036412979,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",142,45.498114,-122.552632
presence,1317495941,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",96,45.498069,-122.660269
presence,99134609,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",94,45.494951,-122.557742
presence,34084149,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",93,45.461749,-122.617317
presence,243208921,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",93,45.589413,-122.681170
presence,161384481,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",91,45.507067,-122.671560
presence,125664614,"Willamette Greenway",off_street,"cycleway=track;bicycle=designated;lcn=yes",89,45.556699,-122.706968
presence,5533860,"Southeast 94th Avenue",off_street,"cycleway=track;bicycle=designated;lcn=yes",84,45.513053,-122.566405
presence,324630256,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",82,45.514902,-122.674630
presence,204195961,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",79,45.588713,-122.757167
presence,356882075,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",77,45.512373,-122.667977
presence,119409267,"South Bancroft Street",off_street,"cycleway=track;bicycle=designated;lcn=yes",75,45.493150,-122.670815
presence,747341395,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",74,45.505797,-122.597651
presence,285156438,"Southeast Tilikum Way",off_street,"cycleway=track;bicycle=designated;lcn=yes",70,45.506580,-122.664292
presence,334416504,"South Porter Street",off_street,"cycleway=track;bicycle=designated;lcn=yes",69,45.503160,-122.669937
presence,334416502,"Southeast Tilikum Way",off_street,"cycleway=track;bicycle=designated;lcn=yes",67,45.506530,-122.664319
presence,42640297,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",65,45.558872,-122.709373
presence,58122664,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",60,45.511493,-122.673600
presence,197608949,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",60,45.573634,-122.546331
presence,337246770,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",52,45.454317,-122.717147
presence,759022041,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",44,45.523617,-122.662389
presence,938598775,"",off_street,"cycleway=track;bicycle=designated;lcn=yes",44,45.514804,-122.692081
